,mean,mean_se,mean_ci_lower,mean_ci_upper
120,34602745.22259228,671579.8745117418,33286472.855807338,35919017.589377224
121,34564963.91084778,1184377.0334010927,32243627.58126525,36886300.24043032
122,34531628.237216935,1580115.9641685218,31434657.85604985,37628598.61838402
123,34519423.286047705,1865667.2597986602,30862782.6497068,38176063.92238861
124,34526431.87520759,2075535.4957347638,30458457.054932963,38594406.69548221
